count,count
Harvard University,86
New York University,46
Princeton University,44
Yale University,42
Stanford University,32
Massachusetts Institute of Technology,31
Tsinghua University,30
University of Pennsylvania,24
Duke University,23
Cornell University,22
University of Oxford,21
Brown University,20
Columbia University,19
University of Cambridge,17
"University of North Carolina, Chapel Hill",16
"University of California, Berkeley",16
Georgetown University,15
University of Chicago,14
Peking University,13
United States Military Academy at West Point,13
Renmin University of China,13
Dartmouth College,12
University of Georgia,11
University of Virginia,10
University College London,10
University of Melbourne,10
"University of Michigan, Ann Arbor",10
University of Southern California,10
Trinity College Dublin,9
London School of Economics and Political Science,9
