word,count
global,175
united,149
international,139
states,130
policy,114
education,79
development,78
studies,76
founded,73
technology,72
graduated,70
public,70
aims,69
president,68
over,67
science,63
health,62
social,61
business,61
across,61
served,59
passionate,58
harvard,57
youth,56
national,55
innovation,54
students,54
chinese,53
leadership,52
political,51
economics,49
worked,49
world,48
holds,48
relations,47
cultural,46
hopes,46
aspires,45
senior,43
american,43
graduate,42
first,42
community,41
communities,41
work,40
government,39
projects,38
founder,37
experience,37
women,36
