word,count_raw,count_clean
university,276,276
china,230,230
global,175,175
united,149,149
international,139,139
states,130,130
scholar,115,115
policy,114,114
schwarzman,88,88
student,83,83
research,82,82
education,79,79
development,78,78
studies,76,76
founded,73,73
technology,71,71
led,71,71
graduated,70,70
public,70,70
aims,69,69
president,68,68
science,63,63
health,62,62
college,62,62
social,61,61
business,61,61
served,59,59
degree,58,58
passionate,58,58
harvard,57,57
youth,56,56
national,55,55
innovation,54,54
chinese,53,53
students,53,53
leadership,52,52
political,51,51
economics,49,49
worked,49,49
world,48,48
holds,48,48
relations,47,47
cultural,46,46
program,46,46
hopes,46,46
aspires,45,45
senior,43,43
american,43,43
graduate,42,42
first,42,42
community,41,41
communities,41,41
work,40,40
government,39,39
law,39,39
projects,38,38
founder,37,37
experience,37,37
finance,36,36
climate,35,35
management,35,35
cross,35,35
energy,34,34
fellow,34,34
school,34,34
new,33,33
women,33,33
initiatives,33,33
south,33,33
team,33,33
currently,32,32
economic,32,32
leading,31,31
asia,31,31
career,31,31
state,31,31
previously,31,31
leader,30,30
studying,30,30
bachelor,30,30
foreign,30,30
award,30,30
association,30,30
environmental,29,29
dedicated,29,29
society,29,29
design,28,28
sustainable,28,28
digital,28,28
healthcare,28,28
earned,28,28
master,28,28
amp,27,27
scholars,27,27
history,27,27
impact,27,27
interned,27,27
group,27,27
young,26,26
investment,26,26
systems,26,26
sustainability,26,26
startup,26,26
human,26,26
engineering,25,25
inclusive,25,25
security,25,25
future,25,25
center,24,24
africa,24,24
solutions,24,24
financial,24,24
hong,24,24
serves,24,24
foundation,23,23
member,23,23
data,23,23
organization,23,23
kong,23,23
tsinghua,23,23
governance,22,22
computer,22,22
service,22,22
advancing,22,22
equity,22,22
support,22,22
collaboration,22,22
studied,22,22
politics,22,22
emerging,22,22
undergraduate,22,22
institute,22,22
private,22,22
focusing,22,22
tech,21,21
african,21,21
intersection,21,21
study,21,21
company,21,21
nonprofit,21,21
asian,21,21
affairs,21,21
california,21,21
advance,21,21
foster,21,21
professional,20,20
initiative,20,20
challenges,20,20
entrepreneurship,20,20
campus,20,20
develop,20,20
nigeria,20,20
focused,20,20
works,20,20
access,20,20
editor,20,20
dialogue,20,20
supporting,19,19
english,19,19
bridge,19,19
developing,19,19
infrastructure,19,19
leads,19,19
sector,19,19
canada,19,19
understanding,19,19
consulting,19,19
stanford,19,19
cooperation,19,19
legal,19,19
models,18,18
equitable,18,18
beijing,18,18
exchange,18,18
programs,18,18
club,18,18
year,18,18
partnerships,18,18
justice,18,18
rights,18,18
media,18,18
countries,17,17
leaders,17,17
issues,17,17
change,17,17
founding,17,17
role,17,17
based,17,17
york,17,17
building,17,17
vice,17,17
pakistan,17,17
consultant,17,17
entrepreneur,17,17
seeks,17,17
princeton,17,17
bank,17,17
institutions,17,17
markets,17,17
capital,17,17
published,16,16
educational,16,16
committed,16,16
policies,16,16
platform,16,16
administration,16,16
european,16,16
operations,16,16
efforts,16,16
time,16,16
passion,16,16
america,16,16
companies,16,16
nations,16,16
columbia,16,16
major,16,16
yale,16,16
double,16,16
honors,16,16
language,16,16
address,15,15
working,15,15
associate,15,15
leverage,15,15
drive,15,15
chief,15,15
communication,15,15
engagement,15,15
high,15,15
focus,15,15
peace,15,15
roles,15,15
strategy,15,15
committee,15,15
director,15,15
boston,15,15
academic,14,14
received,14,14
driven,14,14
music,14,14
mental,14,14
leveraging,14,14
scholarship,14,14
department,14,14
improve,14,14
venture,14,14
build,14,14
years,14,14
pacific,14,14
conference,14,14
innovative,14,14
latin,14,14
raised,13,13
network,13,13
experiences,13,13
strategies,13,13
industry,13,13
majoring,13,13
council,13,13
addressing,13,13
diplomacy,13,13
food,13,13
completed,13,13
product,13,13
growth,13,13
scale,13,13
industrial,13,13
advocate,13,13
underserved,13,13
strategic,13,13
winning,13,13
conflict,13,13
promoting,13,13
class,13,13
duke,13,13
degrees,13,13
contributed,13,13
cum,13,13
laude,13,13
brown,13,13
jordan,13,13
various,12,12
conferences,12,12
minor,12,12
conducted,12,12
pursue,12,12
transition,12,12
technologies,12,12
manager,12,12
globally,12,12
project,12,12
skills,12,12
people,12,12
recognized,12,12
helped,12,12
french,12,12
fund,12,12
developed,12,12
internships,12,12
strengthen,12,12
